Rodada,JogoLocal,JogoData,JogoNumero,JogoTimeA,JogoTimeB,Funcao,Nome,Categoria,Federacao
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Assistente de Árbitro de Vídeo 2,Marcelo Aparecido Ribeiro de Souza,AB,PB
1,Maracanã - Rio de Janeiro - RJ,04/28/2019 19:00:00,7,Fluminense - RJ,Goiás - GO,Observador de VAR,Alicio Pena Junior,CBF,BR
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Árbitro,Ricardo Marques Ribeiro,FIFA,MG
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Árbitro Assistente 1,Sidmar dos Santos Meurer,AB,MG
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Árbitro Assistente 2,Ricardo Junio de Souza,AB,MG
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Quarto Árbitro,Vinicius Gonçalves Dias Araujo,AB,SP
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Analista de Campo,Jose Henrique de Carvalho,CBF,SP
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Árbitro de Vídeo,Bruno Arleu de Araujo,AB,RJ
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Assistente de Árbitro de Vídeo 1,Pathrice Wallace Corrêa Maia,AB,RJ
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Assistente de Árbitro de Vídeo 2,Diogo Carvalho Silva,AB,RJ
2,Arena Corinthians - Sao Paulo - SP,05/01/2019 16:00:00,14,Corinthians - SP,Chapecoense - SC,Observador de VAR,Antonio Pereira da Silva,CBF,GO
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Árbitro,Caio Max Augusto Vieira,AB,RN
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Árbitro Assistente 1,Alessandro Alvaro Rocha de Matos,FIFA,BA
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Árbitro Assistente 2,Cleriston Clay Barreto Rios,MTR,SE
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Quarto Árbitro,José Ricardo Vasconcellos Laranjeira,CD,AL
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Analista de Campo,Charles Hebert Cavalcante Ferreira,CBF,AL
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Árbitro de Vídeo,Leandro Pedro Vuaden,MTR,RS
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Assistente de Árbitro de Vídeo 1,Jean Pierre Goncalves Lima,AB,RS
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Assistente de Árbitro de Vídeo 2,Elicarlos Franco de Oliveira,AB,BA
2,Rei Pelé - Maceio - AL,05/01/2019 16:00:00,20,Csa - AL,Palmeiras - SP,Observador de VAR,Vayran da Silva Rosa,CBF,SC
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Árbitro,Flavio Rodrigues de Souza,AB,SP
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Árbitro Assistente 1,Emerson Augusto de Carvalho,FIFA,SP
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Árbitro Assistente 2,Alex Ang Ribeiro,AB,SP
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Quarto Árbitro,Douglas Schwengber da Silva,AB,RS
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Analista de Campo,Paulo Ricardo Silva Conceição,CBF,RS
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Árbitro de Vídeo,Jose Claudio Rocha Filho,AB,SP
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Assistente de Árbitro de Vídeo 1,Marcio Henrique de Gois,CD,SP
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Assistente de Árbitro de Vídeo 2,Herman Brumel Vani,AB,SP
